Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
DNAJC4	ENST00000355040.4	DnaJ (Hsp40) homolog, subfamily C, member 4 	67	0	0	0	0	0	mmu-miR-370-3p				-0.58	-0.58	N/A
JMJD1C	ENST00000399251.1	jumonji domain containing 1C 	60	2	0	1	1	0	mmu-miR-370-3p				-0.58	-0.58	N/A
HDDC2	ENST00000608295.1	HD domain containing 2 	1973	0	0	0	0	0	mmu-miR-370-3p				-0.57	-0.57	N/A
STAP1	ENST00000265404.2	signal transducing adaptor family member 1 	5	1	1	0	0	0	mmu-miR-370-3p				-0.57	-0.57	N/A
DST	ENST00000312431.6	dystonin 	439	11	1	7	3	7	mmu-miR-370-3p				-0.56	-0.59	N/A
C19orf25	ENST00000588849.1	chromosome 19 open reading frame 25 	498	1	1	0	0	0	mmu-miR-370-3p				-0.56	-0.57	N/A
POLD4	ENST00000312419.3	polymerase (DNA-directed), delta 4, accessory subunit 	6724	2	0	2	0	0	mmu-miR-370-3p				-0.55	-0.55	N/A
MLEC	ENST00000228506.3	malectin 	12084	5	2	3	0	1	mmu-miR-370-3p				-0.54	-0.54	N/A
C8orf4	ENST00000315792.3	chromosome 8 open reading frame 4 	3820	2	1	1	0	0	mmu-miR-370-3p				-0.54	-0.54	N/A
COPS5	ENST00000517736.1	COP9 signalosome subunit 5 	129	1	1	0	0	0	mmu-miR-370-3p				-0.53	-0.53	N/A
NSUN4	ENST00000474844.1	NOP2/Sun domain family, member 4 	422	1	0	1	0	1	mmu-miR-370-3p				-0.53	-0.54	N/A
ACCS	ENST00000263776.8	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional) 	5	1	1	0	0	0	mmu-miR-370-3p				-0.52	-0.52	N/A
SPOCD1	ENST00000373648.2	SPOC domain containing 1 	755	2	0	2	0	0	mmu-miR-370-3p				-0.52	-0.52	N/A
TMEM216	ENST00000334888.5	transmembrane protein 216 	616	1	1	0	0	0	mmu-miR-370-3p				-0.52	-0.52	N/A
PXMP2	ENST00000317479.3	peroxisomal membrane protein 2, 22kDa 	3834	1	1	0	0	0	mmu-miR-370-3p				-0.52	-0.52	N/A
VAPB	ENST00000395802.3	VAMP (vesicle-associated membrane protein)-associated protein B and C 	391	3	2	0	1	0	mmu-miR-370-3p				-0.51	-0.60	N/A
ADCY3	ENST00000260600.5	adenylate cyclase 3 	479	2	0	0	2	0	mmu-miR-370-3p				-0.51	-0.51	N/A
SLC39A9	ENST00000031146.4	solute carrier family 39, member 9 	824	3	2	1	0	1	mmu-miR-370-3p				-0.51	-0.61	N/A
TIMM9	ENST00000395159.2	translocase of inner mitochondrial membrane 9 homolog (yeast) 	539	1	1	0	0	0	mmu-miR-370-3p				-0.51	-0.51	N/A
SLC35D2	ENST00000253270.7	solute carrier family 35 (UDP-GlcNAc/UDP-glucose transporter), member D2 	223	1	1	0	0	0	mmu-miR-370-3p				-0.51	-0.51	N/A
STMN4	ENST00000519614.1	stathmin-like 4 	5	1	1	0	0	0	mmu-miR-370-3p				-0.50	-0.50	N/A
IL13RA2	ENST00000371936.1	interleukin 13 receptor, alpha 2 	5	1	1	0	0	0	mmu-miR-370-3p				-0.50	-0.50	N/A
CDH7	ENST00000397968.2	cadherin 7, type 2 	42	1	1	0	0	0	mmu-miR-370-3p				-0.50	-0.50	N/A
AKAP2	ENST00000374525.1	A kinase (PRKA) anchor protein 2 	1287	1	1	0	0	2	mmu-miR-370-3p				-0.50	-0.50	N/A
IGFBP6	ENST00000548547.1	insulin-like growth factor binding protein 6 	1219	1	1	0	0	0	mmu-miR-370-3p				-0.49	-0.49	N/A
BSN	ENST00000296452.4	bassoon presynaptic cytomatrix protein 	31	2	0	2	0	1	mmu-miR-370-3p				-0.49	-0.49	N/A
ZC3H15	ENST00000337859.6	zinc finger CCCH-type containing 15 	395	1	1	0	0	0	mmu-miR-370-3p				-0.49	-0.49	N/A
RARRES2	ENST00000223271.3	retinoic acid receptor responder (tazarotene induced) 2 	345	1	1	0	0	0	mmu-miR-370-3p				-0.49	-0.49	N/A
FAM222B	ENST00000582266.1	family with sequence similarity 222, member B 	100	2	1	1	0	1	mmu-miR-370-3p				-0.48	-0.48	N/A
PPFIBP1	ENST00000318304.8	PTPRF interacting protein, binding protein 1 (liprin beta 1) 	341	3	0	3	0	0	mmu-miR-370-3p				-0.48	-0.57	N/A
POLR3H	ENST00000396504.2	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) 	216	4	1	1	2	4	mmu-miR-370-3p				-0.48	-0.50	N/A
ARL6IP5	ENST00000273258.3	ADP-ribosylation-like factor 6 interacting protein 5 	150	2	1	1	0	0	mmu-miR-370-3p				-0.48	-0.49	N/A
PALM2-AKAP2	ENST00000374530.3	PALM2-AKAP2 readthrough 	1287	1	1	0	0	2	mmu-miR-370-3p				-0.48	-0.48	N/A
PBOV1	ENST00000527246.2	prostate and breast cancer overexpressed 1 	5	0	0	0	0	1	mmu-miR-370-3p				-0.48	-0.48	N/A
C9orf114	ENST00000361256.5	chromosome 9 open reading frame 114 	488	1	1	0	0	0	mmu-miR-370-3p				-0.47	-0.47	N/A
DHX38	ENST00000268482.3	DEAH (Asp-Glu-Ala-His) box polypeptide 38 	667	2	2	0	0	0	mmu-miR-370-3p				-0.47	-0.47	N/A
RPP14	ENST00000445193.3	ribonuclease P/MRP 14kDa subunit 	1612	1	1	0	0	0	mmu-miR-370-3p				-0.46	-0.47	N/A
SLC5A2	ENST00000330498.3	solute carrier family 5 (sodium/glucose cotransporter), member 2 	5	1	1	0	0	0	mmu-miR-370-3p				-0.46	-0.46	N/A
LSM14B	ENST00000253001.4	LSM14B, SCD6 homolog B (S. cerevisiae) 	700	1	1	0	0	0	mmu-miR-370-3p				-0.46	-0.46	N/A
ARPC4	ENST00000397261.3	actin related protein 2/3 complex, subunit 4, 20kDa 	2513	1	1	0	0	0	mmu-miR-370-3p				-0.46	-0.46	N/A
CIAPIN1	ENST00000565961.1	cytokine induced apoptosis inhibitor 1 	423	2	1	0	1	0	mmu-miR-370-3p				-0.46	-0.46	N/A
CDPF1	ENST00000404744.1	cysteine-rich, DPF motif domain containing 1 	169	1	1	0	0	0	mmu-miR-370-3p				-0.46	-0.46	N/A
PPIF	ENST00000394579.3	peptidylprolyl isomerase F 	9304	2	1	1	0	0	mmu-miR-370-3p				-0.46	-0.46	N/A
SHISA2	ENST00000319420.3	shisa family member 2 	30	2	1	0	1	0	mmu-miR-370-3p				-0.46	-0.46	N/A
NSG2	ENST00000303177.3	Neuron-specific protein family member 2  	5	2	1	1	0	0	mmu-miR-370-3p				-0.45	-0.45	N/A
EDN2	ENST00000372587.4	endothelin 2 	5	1	1	0	0	0	mmu-miR-370-3p				-0.45	-0.45	N/A
FAM73B	ENST00000277475.5	family with sequence similarity 73, member B 	651	2	1	1	0	1	mmu-miR-370-3p				-0.45	-0.45	N/A
ARTN	ENST00000372359.5	artemin 	18	1	1	0	0	0	mmu-miR-370-3p				-0.45	-0.45	N/A
YIPF1	ENST00000371399.1	Yip1 domain family, member 1 	145	0	0	0	0	0	mmu-miR-370-3p				-0.44	-0.58	N/A
RPRD1B	ENST00000373433.4	regulation of nuclear pre-mRNA domain containing 1B 	1140	2	1	0	1	0	mmu-miR-370-3p				-0.44	-0.44	N/A
GABARAP	ENST00000302386.5	GABA(A) receptor-associated protein 	10137	1	1	0	0	0	mmu-miR-370-3p				-0.44	-0.44	N/A
ANKS4B	ENST00000311620.5	ankyrin repeat and sterile alpha motif domain containing 4B 	40	1	1	0	0	1	mmu-miR-370-3p				-0.44	-0.44	N/A
CDC34	ENST00000215574.4	cell division cycle 34 	1810	1	1	0	0	0	mmu-miR-370-3p				-0.44	-0.54	N/A
YWHAH	ENST00000397492.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide 	7321	1	0	0	1	0	mmu-miR-370-3p				-0.43	-0.43	N/A
ITGB1BP2	ENST00000373829.3	integrin beta 1 binding protein (melusin) 2 	22	1	1	0	0	0	mmu-miR-370-3p				-0.43	-0.43	N/A
C3orf79	ENST00000446603.2	chromosome 3 open reading frame 79 	5	1	0	1	0	1	mmu-miR-370-3p				-0.43	-0.43	N/A
AHR	ENST00000242057.4	aryl hydrocarbon receptor 	25	1	1	0	0	0	mmu-miR-370-3p				-0.43	-0.43	N/A
PET100	ENST00000594797.1	PET100 homolog (S. cerevisiae) 	5	1	1	0	0	1	mmu-miR-370-3p				-0.42	-0.42	N/A
KCNMB1	ENST00000274629.4	potassium large conductance calcium-activated channel, subfamily M, beta member 1 	5	1	1	0	0	2	mmu-miR-370-3p				-0.42	-0.42	N/A
IL6ST	ENST00000381287.4	interleukin 6 signal transducer (gp130, oncostatin M receptor) 	213	5	2	2	1	0	mmu-miR-370-3p				-0.42	-0.43	N/A
RABL2B	ENST00000354869.3	RAB, member of RAS oncogene family-like 2B 	18	3*	1	1	0	0	mmu-miR-370-3p				-0.42	-0.42	N/A
ILF2	ENST00000361891.4	interleukin enhancer binding factor 2 	5746	1	1	0	0	0	mmu-miR-370-3p				-0.42	-0.42	N/A
LILRB2	ENST00000391746.1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 	5	1	1	0	0	0	mmu-miR-370-3p				-0.42	-0.42	N/A
SMG9	ENST00000270066.6	SMG9 nonsense mediated mRNA decay factor 	401	1	1	0	0	0	mmu-miR-370-3p				-0.41	-0.41	N/A
FAM195B	ENST00000576679.1	family with sequence similarity 195, member B 	164	1	1	0	0	1	mmu-miR-370-3p				-0.41	-0.41	N/A
RUFY1	ENST00000377001.2	RUN and FYVE domain containing 1 	187	2	0	1	1	0	mmu-miR-370-3p				-0.41	-0.41	N/A
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	1	1	0	0	0	mmu-miR-370-3p				-0.41	-0.41	N/A
BIRC2	ENST00000227758.2	baculoviral IAP repeat containing 2 	36	1	1	0	0	0	mmu-miR-370-3p				-0.41	-0.41	N/A
AC091801.1	ENST00000402115.1	LOC392621; Uncharacterized protein  	5	1	1	0	0	1	mmu-miR-370-3p				-0.41	-0.41	N/A
ARID1B	ENST00000346085.5	AT rich interactive domain 1B (SWI1-like) 	220	1	1	0	0	0	mmu-miR-370-3p				-0.41	-0.49	N/A
RABL2A	ENST00000393167.3	RAB, member of RAS oncogene family-like 2A 	11	3*	1	1	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
RNF144B	ENST00000259939.3	ring finger protein 144B 	17	3	1	1	1	1	mmu-miR-370-3p				-0.40	-0.49	N/A
DEF6	ENST00000316637.5	differentially expressed in FDCP 6 homolog (mouse) 	35	3	0	3	0	1	mmu-miR-370-3p				-0.40	-0.66	N/A
FAM114A2	ENST00000351797.4	family with sequence similarity 114, member A2 	385	5	2	1	2	0	mmu-miR-370-3p				-0.40	-1.44	N/A
OPALIN	ENST00000371172.3	oligodendrocytic myelin paranodal and inner loop protein 	5	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
PIN4	ENST00000218432.5	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin) 	29	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
SELV	ENST00000335426.4	Selenoprotein V  	5	0	0	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
APOL4	ENST00000404685.3	apolipoprotein L, 4 	5	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
AP3B1	ENST00000255194.6	adaptor-related protein complex 3, beta 1 subunit 	180	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
RUVBL1	ENST00000417360.1	RuvB-like AAA ATPase 1 	1050	0	0	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
TACR1	ENST00000305249.5	tachykinin receptor 1 	5	2	1	1	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
GGT5	ENST00000263112.7	gamma-glutamyltransferase 5 	55	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
PAFAH2	ENST00000374282.3	platelet-activating factor acetylhydrolase 2, 40kDa 	287	1	1	0	0	0	mmu-miR-370-3p				-0.40	-0.40	N/A
ANXA13	ENST00000262219.6	annexin A13 	5	2	0	0	2	0	mmu-miR-370-3p				-0.40	-0.40	N/A
AGTRAP	ENST00000376627.2	angiotensin II receptor-associated protein 	3213	1	1	0	0	2	mmu-miR-370-3p				-0.39	-0.40	N/A
UBE2L3	ENST00000342192.4	ubiquitin-conjugating enzyme E2L 3 	1318	1	0	1	0	2	mmu-miR-370-3p				-0.39	-0.45	N/A
CYTH1	ENST00000585509.1	cytohesin 1 	553	6	1	4	1	3	mmu-miR-370-3p				-0.39	-0.39	N/A
TSNAX	ENST00000366639.4	translin-associated factor X 	936	1	1	0	0	0	mmu-miR-370-3p				-0.39	-0.41	N/A
MYF6	ENST00000228641.3	myogenic factor 6 (herculin) 	5	1	1	0	0	0	mmu-miR-370-3p				-0.39	-0.39	N/A
FBLN5	ENST00000267620.10	fibulin 5 	146	0	0	0	0	0	mmu-miR-370-3p				-0.39	-0.39	N/A
HIP1R	ENST00000253083.4	huntingtin interacting protein 1 related 	17	2	1	1	0	1	mmu-miR-370-3p				-0.39	-0.39	N/A
CEP350	ENST00000367607.3	centrosomal protein 350kDa 	705	1	1	0	0	1	mmu-miR-370-3p				-0.38	-0.46	N/A
KIAA1614	ENST00000367588.4	KIAA1614 	5	4	0	3	1	0	mmu-miR-370-3p				-0.38	-0.38	N/A
KCNJ1	ENST00000392665.2	potassium inwardly-rectifying channel, subfamily J, member 1 	9	3	1	0	2	0	mmu-miR-370-3p				-0.38	-0.50	N/A
WNT10B	ENST00000407467.1	wingless-type MMTV integration site family, member 10B 	13	1	1	0	0	1	mmu-miR-370-3p				-0.38	-0.38	N/A
AAR2	ENST00000320849.4	AAR2 splicing factor homolog (S. cerevisiae) 	74	2	1	1	0	1	mmu-miR-370-3p				-0.38	-0.38	N/A
C10orf82	ENST00000369210.3	chromosome 10 open reading frame 82 	5	1	1	0	0	0	mmu-miR-370-3p				-0.38	-0.38	N/A
ALPL	ENST00000374840.3	alkaline phosphatase, liver/bone/kidney 	251	2	1	1	0	0	mmu-miR-370-3p				-0.38	-0.38	N/A
POPDC2	ENST00000264231.3	popeye domain containing 2 	7	1	1	0	0	1	mmu-miR-370-3p				-0.38	-0.38	N/A
GLIS3	ENST00000324333.10	GLIS family zinc finger 3 	47	3	1	1	1	0	mmu-miR-370-3p				-0.37	-0.37	N/A
C11orf88	ENST00000529167.1	chromosome 11 open reading frame 88 	5	1	1	0	0	1	mmu-miR-370-3p				-0.37	-0.37	N/A
RP11-295D22.1	ENST00000565320.1	Uncharacterized protein  	5	1	0	1	0	2	mmu-miR-370-3p				-0.37	-0.37	N/A
MICALCL	ENST00000256186.2	MICAL C-terminal like 	62	0	0	0	0	1	mmu-miR-370-3p				-0.37	-0.41	N/A
P2RY11	ENST00000321826.4	purinergic receptor P2Y, G-protein coupled, 11 	293	2	0	1	1	0	mmu-miR-370-3p				-0.37	-0.37	N/A
TMEM132B	ENST00000299308.3	transmembrane protein 132B 	5	2	0	0	2	0	mmu-miR-370-3p				-0.37	-0.37	N/A
HMGA2	ENST00000403681.2	high mobility group AT-hook 2 	8021	2	1	1	0	0	mmu-miR-370-3p				-0.37	-0.37	N/A
NAP1L6	ENST00000373518.1	nucleosome assembly protein 1-like 6 	5	1	1	0	0	0	mmu-miR-370-3p				-0.37	-0.37	N/A
ENPP5	ENST00000371383.2	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative) 	15	1	1	0	0	2	mmu-miR-370-3p				-0.37	-0.44	N/A
ENDOD1	ENST00000278505.4	endonuclease domain containing 1 	100	3	0	2	1	2	mmu-miR-370-3p				-0.37	-0.49	N/A
GRIK1-AS2	ENST00000333765.4	GRIK1 antisense RNA 2 	5	1	0	1	0	0	mmu-miR-370-3p				-0.37	-0.37	N/A
SAMD12	ENST00000409003.4	sterile alpha motif domain containing 12 	57	3	1	2	0	0	mmu-miR-370-3p				-0.37	-0.37	N/A
DUSP26	ENST00000256261.4	dual specificity phosphatase 26 (putative) 	5	1	1	0	0	2	mmu-miR-370-3p				-0.36	-0.36	N/A
ATP1B4	ENST00000218008.3	ATPase, Na+/K+ transporting, beta 4 polypeptide 	5	2	2	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
CDC42EP4	ENST00000335793.3	CDC42 effector protein (Rho GTPase binding) 4 	47	2	1	1	0	2	mmu-miR-370-3p				-0.36	-0.42	N/A
MFSD6L	ENST00000329805.4	major facilitator superfamily domain containing 6-like 	5	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
HYAL1	ENST00000395144.2	hyaluronoglucosaminidase 1 	59	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
CCL21	ENST00000259607.2	chemokine (C-C motif) ligand 21 	5	0	0	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
CD8A	ENST00000456996.2	CD8a molecule 	34	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
MAFG	ENST00000357736.4	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G 	5	4	1	2	1	0	mmu-miR-370-3p				-0.36	-0.36	N/A
ACPP	ENST00000336375.5	acid phosphatase, prostate 	22	2	1	0	1	1	mmu-miR-370-3p				-0.36	-0.36	N/A
TPM1	ENST00000267996.7	tropomyosin 1 (alpha) 	21798	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
BRAT1	ENST00000340611.4	BRCA1-associated ATM activator 1 	2308	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
ABLIM2	ENST00000361737.5	actin binding LIM protein family, member 2 	78	2	1	1	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
MKS1	ENST00000313863.6	Meckel syndrome, type 1 	142	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
SERPINA4	ENST00000555095.1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4 	203	1	1	0	0	0	mmu-miR-370-3p				-0.36	-0.36	N/A
WNK2	ENST00000395475.2	WNK lysine deficient protein kinase 2 	134	3	1	1	1	2	mmu-miR-370-3p				-0.35	-0.35	N/A
CEND1	ENST00000330106.4	cell cycle exit and neuronal differentiation 1 	28	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.35	N/A
CPSF3L	ENST00000435064.1	cleavage and polyadenylation specific factor 3-like 	845	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.35	N/A
INTS2	ENST00000444766.3	integrator complex subunit 2 	109	1	1	0	0	1	mmu-miR-370-3p				-0.35	-0.37	N/A
NFRKB	ENST00000446488.3	nuclear factor related to kappaB binding protein 	21	1	1	0	0	1	mmu-miR-370-3p				-0.35	-0.35	N/A
C22orf15	ENST00000382821.3	chromosome 22 open reading frame 15 	5	1	0	1	0	0	mmu-miR-370-3p				-0.35	-0.35	N/A
RGS8	ENST00000483095.2	regulator of G-protein signaling 8 	5	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.35	N/A
SLC25A15	ENST00000338625.4	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 	345	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.37	N/A
CSMD2	ENST00000373381.4	CUB and Sushi multiple domains 2 	5	3	2	0	1	0	mmu-miR-370-3p				-0.35	-0.35	N/A
MEPE	ENST00000424957.3	matrix extracellular phosphoglycoprotein 	5	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.35	N/A
KCNG4	ENST00000308251.4	potassium voltage-gated channel, subfamily G, member 4 	0	2	1	0	1	0	mmu-miR-370-3p				-0.35	-0.35	N/A
MICU2	ENST00000382374.4	mitochondrial calcium uptake 2 	68	1	1	0	0	0	mmu-miR-370-3p				-0.35	-0.40	N/A
SOX10	ENST00000396884.2	SRY (sex determining region Y)-box 10 	5	2	1	1	0	1	mmu-miR-370-3p				-0.35	-0.35	N/A
RWDD4	ENST00000326397.5	RWD domain containing 4 	5	1	1	0	0	0	mmu-miR-370-3p				-0.34	-0.34	N/A
RAB3GAP1	ENST00000264158.8	RAB3 GTPase activating protein subunit 1 (catalytic) 	613	2	1	1	0	0	mmu-miR-370-3p				-0.34	-0.34	N/A
KIF26B	ENST00000366518.4	kinesin family member 26B 	25	6	2	3	1	1	mmu-miR-370-3p				-0.34	-0.34	N/A
NLRC5	ENST00000436936.1	NLR family, CARD domain containing 5 	47	2	1	0	1	0	mmu-miR-370-3p				-0.34	-0.36	N/A
KLHL24	ENST00000454652.2	kelch-like family member 24 	143	2	1	1	0	1	mmu-miR-370-3p				-0.34	-0.34	N/A
ANK3	ENST00000280772.2	ankyrin 3, node of Ranvier (ankyrin G) 	74	1	0	0	1	0	mmu-miR-370-3p				-0.34	-0.34	N/A
UBE2H	ENST00000355621.3	ubiquitin-conjugating enzyme E2H 	855	4	1	2	1	1	mmu-miR-370-3p				-0.34	-0.36	N/A
C16orf74	ENST00000602583.1	chromosome 16 open reading frame 74 	1205	1	0	1	0	1	mmu-miR-370-3p				-0.34	-0.34	N/A
BAP1	ENST00000460680.1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) 	445	2	2	0	0	1	mmu-miR-370-3p				-0.33	-0.34	N/A
SRSF6	ENST00000244020.3	serine/arginine-rich splicing factor 6 	1914	0	0	0	0	1	mmu-miR-370-3p				-0.33	-0.35	N/A
NT5C1B-RDH14	ENST00000532967.1	NT5C1B-RDH14 readthrough 	572	0	0	0	0	0	mmu-miR-370-3p				-0.33	-0.33	N/A
CYGB	ENST00000293230.5	cytoglobin 	10	2	1	1	0	1	mmu-miR-370-3p				-0.33	-0.33	N/A
GPLD1	ENST00000230036.1	glycosylphosphatidylinositol specific phospholipase D1 	51	2	1	1	0	0	mmu-miR-370-3p				-0.33	-0.44	N/A
RCN2	ENST00000394885.3	reticulocalbin 2, EF-hand calcium binding domain 	4448	2	2	0	0	0	mmu-miR-370-3p				-0.33	-0.56	N/A
SRP72	ENST00000342756.5	signal recognition particle 72kDa 	185	1	1	0	0	1	mmu-miR-370-3p				-0.33	-0.33	N/A
GRASP	ENST00000552049.1	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein 	51	1	1	0	0	0	mmu-miR-370-3p				-0.33	-0.33	N/A
GPN1	ENST00000264718.3	GPN-loop GTPase 1 	648	2	1	1	0	0	mmu-miR-370-3p				-0.33	-0.36	N/A
CD84	ENST00000534968.1	CD84 molecule 	5	5	1	1	3	0	mmu-miR-370-3p				-0.33	-0.41	N/A
NT5M	ENST00000389022.4	5',3'-nucleotidase, mitochondrial 	534	2	0	2	0	0	mmu-miR-370-3p				-0.33	-0.33	N/A
C9orf43	ENST00000374165.1	chromosome 9 open reading frame 43 	5	1	1	0	0	0	mmu-miR-370-3p				-0.33	-0.33	N/A
ACSBG1	ENST00000258873.4	acyl-CoA synthetase bubblegum family member 1 	5	2	1	0	1	0	mmu-miR-370-3p				-0.33	-0.33	N/A
KLHDC7A	ENST00000400664.1	kelch domain containing 7A 	5	2	1	0	1	1	mmu-miR-370-3p				-0.33	-0.33	N/A
SIAH3	ENST00000400405.2	siah E3 ubiquitin protein ligase family member 3 	5	2	1	1	0	0	mmu-miR-370-3p				-0.33	-0.33	N/A
MFSD6	ENST00000392328.1	major facilitator superfamily domain containing 6 	47	1	1	0	0	1	mmu-miR-370-3p				-0.33	-0.33	N/A
