Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
CNIH1	ENST00000395573.4	cornichon family AMPA receptor auxiliary protein 1 	2182	1	0	0	1	0	mmu-let-7d-3p				-0.39	-0.40	N/A
DHRS4L2	ENST00000335125.6	dehydrogenase/reductase (SDR family) member 4 like 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.39	-0.39	N/A
JAG2	ENST00000331782.3	jagged 2 	68	1	1	0	0	0	mmu-let-7d-3p				-0.38	-0.48	N/A
ZNF235	ENST00000291182.4	zinc finger protein 235 	69	1	0	0	1	0	mmu-let-7d-3p				-0.38	-0.38	N/A
CBWD7	ENST00000377391.3	COBW domain containing 7 	5	1	0	0	1	0	mmu-let-7d-3p				-0.38	-0.38	N/A
IDH3B	ENST00000380843.4	isocitrate dehydrogenase 3 (NAD+) beta 	4469	1	0	1	0	0	mmu-let-7d-3p				-0.38	-0.38	N/A
DNAJC8	ENST00000263697.4	DnaJ (Hsp40) homolog, subfamily C, member 8 	584	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.38	N/A
FGFRL1	ENST00000264748.6	fibroblast growth factor receptor-like 1 	1114	1	0	1	0	0	mmu-let-7d-3p				-0.37	-0.39	N/A
REEP5	ENST00000545426.1	receptor accessory protein 5 	4440	1	0	1	0	0	mmu-let-7d-3p				-0.37	-0.37	N/A
CBWD5	ENST00000382405.3	COBW domain containing 5 	5	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.37	N/A
CBWD1	ENST00000356521.4	COBW domain containing 1 	5	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.37	N/A
CBWD6	ENST00000377457.5	COBW domain containing 6 	5	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.37	N/A
CBWD3	ENST00000360171.6	COBW domain containing 3 	5	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.37	N/A
CBWD2	ENST00000259199.4	COBW domain containing 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.37	-0.37	N/A
PSMA8	ENST00000343848.6	proteasome (prosome, macropain) subunit, alpha type, 8 	5	1	0	1	0	0	mmu-let-7d-3p				-0.35	-0.35	N/A
MTMR6	ENST00000381801.5	myotubularin related protein 6 	838	1	0	1	0	0	mmu-let-7d-3p				-0.35	-0.35	N/A
SCAF8	ENST00000367178.3	SR-related CTD-associated factor 8 	1917	1	0	0	1	0	mmu-let-7d-3p				-0.34	-0.34	N/A
ZIC1	ENST00000282928.4	Zic family member 1 	26	1	0	1	0	1	mmu-let-7d-3p				-0.34	-0.41	N/A
EIF5A2	ENST00000474096.1	eukaryotic translation initiation factor 5A2 	443	1	0	0	1	0	mmu-let-7d-3p				-0.34	-0.36	N/A
ZBTB49	ENST00000337872.4	zinc finger and BTB domain containing 49 	103	1	0	0	1	0	mmu-let-7d-3p				-0.34	-0.34	N/A
EEA1	ENST00000322349.8	early endosome antigen 1 	78	1	0	1	0	1	mmu-let-7d-3p				-0.34	-0.36	N/A
SEPT10	ENST00000397712.2	septin 10 	50	1	0	0	1	0	mmu-let-7d-3p				-0.34	-0.34	N/A
GRPEL2	ENST00000416916.2	GrpE-like 2, mitochondrial (E. coli) 	79	1	0	1	0	1	mmu-let-7d-3p				-0.34	-0.41	N/A
SLCO4C1	ENST00000310954.6	solute carrier organic anion transporter family, member 4C1 	13	1	0	0	1	0	mmu-let-7d-3p				-0.33	-0.33	N/A
MESDC2	ENST00000261758.4	mesoderm development candidate 2 	1433	1	0	0	1	0	mmu-let-7d-3p				-0.33	-0.34	N/A
C14orf79	ENST00000550614.1	chromosome 14 open reading frame 79 	29	1	0	0	1	0	mmu-let-7d-3p				-0.33	-0.33	N/A
POM121C	ENST00000257665.5	POM121 transmembrane nucleoporin C 	5	1	1	0	0	0	mmu-let-7d-3p				-0.32	-0.32	N/A
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	1	0	0	1	0	mmu-let-7d-3p				-0.32	-0.32	N/A
UBE2E1	ENST00000306627.3	ubiquitin-conjugating enzyme E2E 1 	3195	1	0	1	0	0	mmu-let-7d-3p				-0.31	-0.31	N/A
RPIA	ENST00000283646.4	ribose 5-phosphate isomerase A 	415	1	0	0	1	0	mmu-let-7d-3p				-0.31	-0.38	N/A
PPTC7	ENST00000354300.3	PTC7 protein phosphatase homolog (S. cerevisiae) 	817	1	0	1	0	1	mmu-let-7d-3p				-0.31	-0.31	N/A
MAMDC2	ENST00000377182.4	MAM domain containing 2 	365	1	0	0	1	0	mmu-let-7d-3p				-0.31	-0.31	N/A
TSPAN5	ENST00000305798.3	tetraspanin 5 	107	1	0	1	0	0	mmu-let-7d-3p				-0.31	-0.31	N/A
FANCF	ENST00000327470.3	Fanconi anemia, complementation group F 	282	1	1	0	0	0	mmu-let-7d-3p				-0.30	-0.75	N/A
ENPP6	ENST00000296741.2	ectonucleotide pyrophosphatase/phosphodiesterase 6 	5	1	0	1	0	0	mmu-let-7d-3p				-0.30	-0.30	N/A
MED1	ENST00000300651.6	mediator complex subunit 1 	87	1	1	0	0	0	mmu-let-7d-3p				-0.30	-0.34	N/A
GRIK4	ENST00000527524.2	glutamate receptor, ionotropic, kainate 4 	5	1	0	0	1	0	mmu-let-7d-3p				-0.30	-0.30	N/A
RBM12	ENST00000374114.3	RNA binding motif protein 12 	431	1	0	0	1	0	mmu-let-7d-3p				-0.30	-0.30	N/A
SSBP2	ENST00000320672.4	single-stranded DNA binding protein 2 	1996	1	0	1	0	0	mmu-let-7d-3p				-0.30	-0.30	N/A
PAPD7	ENST00000230859.6	PAP associated domain containing 7 	3195	1	1	0	0	0	mmu-let-7d-3p				-0.30	-0.31	N/A
HTR2A	ENST00000378688.4	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	5	1	0	1	0	0	mmu-let-7d-3p				-0.30	-0.30	N/A
KCTD8	ENST00000360029.3	potassium channel tetramerization domain containing 8 	5	1	0	0	1	0	mmu-let-7d-3p				-0.30	-0.30	N/A
SLC16A9	ENST00000395348.3	solute carrier family 16, member 9 	7	1	0	1	0	0	mmu-let-7d-3p				-0.30	-0.30	N/A
ZNF667	ENST00000591790.1	zinc finger protein 667 	24	1	0	1	0	0	mmu-let-7d-3p				-0.30	-0.30	N/A
GOLPH3	ENST00000265070.6	golgi phosphoprotein 3 (coat-protein) 	1157	1	0	0	1	0	mmu-let-7d-3p				-0.29	-0.30	N/A
RDX	ENST00000343115.4	radixin 	44	2	0	1	1	0	mmu-let-7d-3p				-0.29	-0.37	N/A
NOL8	ENST00000442668.2	nucleolar protein 8 	108	1	0	1	0	0	mmu-let-7d-3p				-0.29	-0.29	N/A
INTS9	ENST00000521022.1	integrator complex subunit 9 	85	1	0	0	1	0	mmu-let-7d-3p				-0.29	-0.29	N/A
NFASC	ENST00000401399.1	neurofascin 	10	1	0	0	1	0	mmu-let-7d-3p				-0.29	-0.29	N/A
PLSCR4	ENST00000354952.2	phospholipid scramblase 4 	133	1	0	0	1	0	mmu-let-7d-3p				-0.29	-0.29	N/A
RGS7BP	ENST00000334025.2	regulator of G-protein signaling 7 binding protein 	5	1	0	0	1	0	mmu-let-7d-3p				-0.29	-0.29	N/A
STAU2	ENST00000522695.1	staufen double-stranded RNA binding protein 2 	306	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.28	N/A
YWHAH	ENST00000397492.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide 	7321	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.28	N/A
TCAIM	ENST00000342649.4	T cell activation inhibitor, mitochondrial 	844	1	0	1	0	0	mmu-let-7d-3p				-0.28	-0.28	N/A
GLP1R	ENST00000373256.4	glucagon-like peptide 1 receptor 	5	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.28	N/A
CHD9	ENST00000566029.1	chromodomain helicase DNA binding protein 9 	447	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.29	N/A
UNC13C	ENST00000545554.1	unc-13 homolog C (C. elegans) 	14	1	0	1	0	0	mmu-let-7d-3p				-0.28	-0.28	N/A
SCD5	ENST00000319540.4	stearoyl-CoA desaturase 5 	1181	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.28	N/A
KIAA1033	ENST00000332180.5	KIAA1033 	238	1	0	0	1	1	mmu-let-7d-3p				-0.28	-0.38	N/A
PLIN1	ENST00000300055.5	perilipin 1 	10	1	0	0	1	0	mmu-let-7d-3p				-0.28	-0.28	N/A
KCNAB1	ENST00000302490.8	potassium voltage-gated channel, shaker-related subfamily, beta member 1 	5	1	0	0	1	0	mmu-let-7d-3p				-0.27	-0.27	N/A
RBFOX1	ENST00000355637.4	RNA binding protein, fox-1 homolog (C. elegans) 1 	5	1	0	0	1	0	mmu-let-7d-3p				-0.27	-0.27	N/A
NDC1	ENST00000540001.1	NDC1 transmembrane nucleoporin 	371	1	0	0	1	0	mmu-let-7d-3p				-0.27	-0.27	N/A
ZSCAN29	ENST00000562072.1	zinc finger and SCAN domain containing 29 	32	1	0	0	1	0	mmu-let-7d-3p				-0.27	-0.27	N/A
FEM1C	ENST00000274457.3	fem-1 homolog c (C. elegans) 	222	1	0	0	1	0	mmu-let-7d-3p				-0.27	-0.27	N/A
CCDC50	ENST00000392455.3	coiled-coil domain containing 50 	961	1	0	1	0	0	mmu-let-7d-3p				-0.26	-0.27	N/A
TAT	ENST00000355962.4	tyrosine aminotransferase 	5	1	0	0	1	0	mmu-let-7d-3p				-0.26	-0.26	N/A
YY1	ENST00000262238.4	YY1 transcription factor 	1803	1	0	1	0	1	mmu-let-7d-3p				-0.26	-0.29	N/A
CD300A	ENST00000360141.3	CD300a molecule 	5	1	0	1	0	0	mmu-let-7d-3p				-0.26	-0.26	N/A
CCDC89	ENST00000316398.3	coiled-coil domain containing 89 	11	1	0	0	1	1	mmu-let-7d-3p				-0.26	-0.37	N/A
FOXF2	ENST00000259806.1	forkhead box F2 	2955	1	0	1	0	0	mmu-let-7d-3p				-0.26	-0.26	N/A
ZFAT	ENST00000429442.2	zinc finger and AT hook domain containing 	120	1	0	1	0	0	mmu-let-7d-3p				-0.26	-0.26	N/A
CLSTN2	ENST00000458420.3	calsyntenin 2 	119	1	0	0	1	1	mmu-let-7d-3p				-0.26	-0.26	N/A
STRN	ENST00000263918.4	striatin, calmodulin binding protein 	476	1	0	1	0	0	mmu-let-7d-3p				-0.26	-0.26	N/A
VTI1A	ENST00000393077.2	vesicle transport through interaction with t-SNAREs 1A 	376	1	1	0	0	0	mmu-let-7d-3p				-0.26	-0.31	N/A
MPDZ	ENST00000319217.7	multiple PDZ domain protein 	341	1	0	1	0	0	mmu-let-7d-3p				-0.25	-0.26	N/A
UBE2Q2	ENST00000267938.4	ubiquitin-conjugating enzyme E2Q family member 2 	106	1	0	0	1	0	mmu-let-7d-3p				-0.25	-0.25	N/A
LZTFL1	ENST00000539217.1	leucine zipper transcription factor-like 1 	593	1	0	1	0	0	mmu-let-7d-3p				-0.25	-0.30	N/A
NPTN	ENST00000345330.4	neuroplastin 	2918	1	0	0	1	0	mmu-let-7d-3p				-0.25	-0.25	N/A
PARP14	ENST00000474629.2	poly (ADP-ribose) polymerase family, member 14 	502	1	0	0	1	0	mmu-let-7d-3p				-0.25	-0.25	N/A
FAM220A	ENST00000313324.4	family with sequence similarity 220, member A 	15	1	0	0	1	0	mmu-let-7d-3p				-0.25	-0.25	N/A
KBTBD8	ENST00000295568.4	kelch repeat and BTB (POZ) domain containing 8 	22	1	1	0	0	0	mmu-let-7d-3p				-0.24	-0.24	N/A
KBTBD3	ENST00000534815.1	kelch repeat and BTB (POZ) domain containing 3 	5	1	0	1	0	0	mmu-let-7d-3p				-0.24	-0.24	N/A
E4F1	ENST00000564139.1	E4F transcription factor 1 	96	1	0	1	0	0	mmu-let-7d-3p				-0.24	-0.24	N/A
FAM3C	ENST00000359943.3	family with sequence similarity 3, member C 	15	1	0	1	0	0	mmu-let-7d-3p				-0.24	-0.24	N/A
ACACA	ENST00000353139.5	acetyl-CoA carboxylase alpha 	306	1	1	0	0	0	mmu-let-7d-3p				-0.24	-0.31	N/A
TLL1	ENST00000061240.2	tolloid-like 1 	247	1	0	0	1	0	mmu-let-7d-3p				-0.24	-0.24	N/A
ATP2A2	ENST00000395494.2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 	2042	1	0	0	1	0	mmu-let-7d-3p				-0.24	-0.26	N/A
NTRK2	ENST00000395882.1	neurotrophic tyrosine kinase, receptor, type 2 	48	1	0	0	1	0	mmu-let-7d-3p				-0.24	-0.24	N/A
GAS1	ENST00000298743.7	growth arrest-specific 1 	2904	1	0	1	0	0	mmu-let-7d-3p				-0.23	-0.23	N/A
CNKSR2	ENST00000379510.3	connector enhancer of kinase suppressor of Ras 2 	85	1	0	0	1	1	mmu-let-7d-3p				-0.23	-0.27	N/A
C21orf91	ENST00000400558.3	chromosome 21 open reading frame 91 	998	1	0	0	1	0	mmu-let-7d-3p				-0.23	-0.27	N/A
KCNJ3	ENST00000295101.2	potassium inwardly-rectifying channel, subfamily J, member 3 	21	1	0	1	0	1	mmu-let-7d-3p				-0.23	-0.31	N/A
ERMN	ENST00000410096.1	ermin, ERM-like protein 	5	1	0	1	0	0	mmu-let-7d-3p				-0.23	-0.23	N/A
IL15RA	ENST00000379971.1	interleukin 15 receptor, alpha 	36	1	0	1	0	0	mmu-let-7d-3p				-0.23	-0.27	N/A
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.23	-0.23	N/A
MMGT1	ENST00000305963.2	membrane magnesium transporter 1 	113	1	0	1	0	0	mmu-let-7d-3p				-0.23	-0.23	N/A
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	1	0	0	1	0	mmu-let-7d-3p				-0.22	-0.23	N/A
MFSD9	ENST00000258436.5	major facilitator superfamily domain containing 9 	395	1	0	0	1	0	mmu-let-7d-3p				-0.22	-0.28	N/A
FKTN	ENST00000223528.2	fukutin 	153	1	0	1	0	0	mmu-let-7d-3p				-0.22	-0.22	N/A
KCNK2	ENST00000444842.2	potassium channel, subfamily K, member 2 	258	1	0	0	1	0	mmu-let-7d-3p				-0.22	-0.27	N/A
CREBZF	ENST00000398294.2	CREB/ATF bZIP transcription factor 	1115	1	0	1	0	0	mmu-let-7d-3p				-0.22	-0.30	N/A
PTAR1	ENST00000377200.5	protein prenyltransferase alpha subunit repeat containing 1 	161	1	0	1	0	0	mmu-let-7d-3p				-0.22	-0.22	N/A
GNAT1	ENST00000232461.3	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 	8	1	0	1	0	0	mmu-let-7d-3p				-0.22	-0.22	N/A
DAG1	ENST00000515359.2	dystroglycan 1 (dystrophin-associated glycoprotein 1) 	241	1	0	0	1	0	mmu-let-7d-3p				-0.22	-0.25	N/A
DNM3	ENST00000367731.1	dynamin 3 	59	1	1	0	0	0	mmu-let-7d-3p				-0.22	-0.22	N/A
CERS6	ENST00000305747.6	ceramide synthase 6 	1932	1	0	0	1	0	mmu-let-7d-3p				-0.21	-0.27	N/A
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	1	1	0	0	0	mmu-let-7d-3p				-0.21	-0.21	N/A
DCTN3	ENST00000447983.2	dynactin 3 (p22) 	1816	1	0	1	0	0	mmu-let-7d-3p				-0.21	-0.21	N/A
SUPT16H	ENST00000216297.2	suppressor of Ty 16 homolog (S. cerevisiae) 	528	1	0	1	0	0	mmu-let-7d-3p				-0.21	-0.21	N/A
KIAA0430	ENST00000396368.3	KIAA0430 	461	1	0	0	1	0	mmu-let-7d-3p				-0.21	-0.21	N/A
TTK	ENST00000509894.1	TTK protein kinase 	539	1	1	0	0	0	mmu-let-7d-3p				-0.21	-0.48	N/A
HOXD3	ENST00000249440.3	homeobox D3 	23	1	0	0	1	0	mmu-let-7d-3p				-0.21	-0.27	N/A
MT-ND5	ENST00000361567.2	mitochondrially encoded NADH dehydrogenase 5 	675	1	0	1	0	0	mmu-let-7d-3p				-0.20	-0.37	N/A
MEX3A	ENST00000532414.2	mex-3 RNA binding family member A 	912	1	0	0	1	0	mmu-let-7d-3p				-0.20	-0.25	N/A
ASIC1	ENST00000228468.4	acid-sensing (proton-gated) ion channel 1 	111	1	0	0	1	0	mmu-let-7d-3p				-0.20	-0.21	N/A
STX17	ENST00000259400.6	syntaxin 17 	510	1	0	0	1	0	mmu-let-7d-3p				-0.20	-0.29	N/A
CHRM2	ENST00000445907.2	cholinergic receptor, muscarinic 2 	5	1	0	0	1	0	mmu-let-7d-3p				-0.20	-0.20	N/A
ZNF341	ENST00000342427.2	zinc finger protein 341 	10	1	0	1	0	0	mmu-let-7d-3p				-0.20	-0.20	N/A
ZFP90	ENST00000398253.2	ZFP90 zinc finger protein 	174	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.20	N/A
FAM84B	ENST00000304916.3	family with sequence similarity 84, member B 	45	1	0	1	0	0	mmu-let-7d-3p				-0.19	-0.19	N/A
DACH1	ENST00000305425.4	dachshund homolog 1 (Drosophila) 	18	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.19	N/A
SMC5	ENST00000361138.5	structural maintenance of chromosomes 5 	108	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.21	N/A
PRELID2	ENST00000334744.4	PRELI domain containing 2 	63	1	0	1	0	0	mmu-let-7d-3p				-0.19	-0.28	N/A
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	0	1	0	0	mmu-let-7d-3p				-0.19	-0.19	N/A
ETV5	ENST00000306376.5	ets variant 5 	1085	1	0	0	1	1	mmu-let-7d-3p				-0.19	-0.25	N/A
KLF9	ENST00000377126.2	Kruppel-like factor 9 	20	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.28	N/A
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.20	N/A
PHOX2B	ENST00000226382.2	paired-like homeobox 2b 	5	1	0	0	1	0	mmu-let-7d-3p				-0.19	-0.19	N/A
TCF12	ENST00000267811.5	transcription factor 12 	101	1	0	1	0	0	mmu-let-7d-3p				-0.18	-0.23	N/A
CDK1	ENST00000395284.3	cyclin-dependent kinase 1 	3029	1	0	0	1	0	mmu-let-7d-3p				-0.18	-0.37	N/A
COL4A3BP	ENST00000380494.5	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein 	134	1	0	0	1	0	mmu-let-7d-3p				-0.18	-0.21	N/A
MBLAC2	ENST00000316610.6	metallo-beta-lactamase domain containing 2 	498	1	0	0	1	0	mmu-let-7d-3p				-0.18	-0.23	N/A
PAFAH1B2	ENST00000527958.1	platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa) 	180	1	0	0	1	0	mmu-let-7d-3p				-0.17	-0.24	N/A
CDV3	ENST00000420115.2	CDV3 homolog (mouse) 	523	1	0	0	1	0	mmu-let-7d-3p				-0.17	-0.23	N/A
PLCE1	ENST00000371380.3	phospholipase C, epsilon 1 	7	1	1	0	0	0	mmu-let-7d-3p				-0.17	-0.17	N/A
NIPAL1	ENST00000295461.5	NIPA-like domain containing 1 	137	1	0	1	0	0	mmu-let-7d-3p				-0.17	-0.17	N/A
RELN	ENST00000428762.1	reelin 	252	1	0	0	1	0	mmu-let-7d-3p				-0.17	-0.17	N/A
CBLL1	ENST00000440859.3	Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase 	850	1	0	1	0	0	mmu-let-7d-3p				-0.17	-0.20	N/A
TANC2	ENST00000424789.2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 	155	1	0	0	1	0	mmu-let-7d-3p				-0.16	-0.19	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	0	1	0	0	mmu-let-7d-3p				-0.16	-0.16	N/A
RTN3	ENST00000339997.4	reticulon 3 	85	1	0	1	0	0	mmu-let-7d-3p				-0.16	-0.16	N/A
HOOK3	ENST00000307602.4	hook microtubule-tethering protein 3 	403	1	0	0	1	0	mmu-let-7d-3p				-0.16	-0.17	N/A
UHRF1BP1L	ENST00000279907.7	UHRF1 binding protein 1-like 	369	1	1	0	0	0	mmu-let-7d-3p				-0.16	-0.30	N/A
PROSER2	ENST00000277570.5	proline and serine-rich protein 2 	61	1	0	1	0	0	mmu-let-7d-3p				-0.16	-0.20	N/A
KCNH5	ENST00000322893.7	potassium voltage-gated channel, subfamily H (eag-related), member 5 	157	1	1	0	0	0	mmu-let-7d-3p				-0.16	-0.21	N/A
SYNPO2L	ENST00000372873.4	synaptopodin 2-like 	5	1	0	0	1	0	mmu-let-7d-3p				-0.15	-0.15	N/A
PELI2	ENST00000267460.4	pellino E3 ubiquitin protein ligase family member 2 	229	1	0	1	0	0	mmu-let-7d-3p				-0.15	-0.16	N/A
PIK3R1	ENST00000521381.1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) 	217	1	0	1	0	0	mmu-let-7d-3p				-0.15	-0.16	N/A
PAG1	ENST00000220597.4	phosphoprotein associated with glycosphingolipid microdomains 1 	53	1	0	1	0	0	mmu-let-7d-3p				-0.15	-0.15	N/A
PRRX1	ENST00000367760.3	paired related homeobox 1 	57	1	0	0	1	0	mmu-let-7d-3p				-0.15	-0.20	N/A
MLLT3	ENST00000380338.4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 	385	1	0	1	0	0	mmu-let-7d-3p				-0.15	-0.19	N/A
FGF2	ENST00000264498.3	fibroblast growth factor 2 (basic) 	123	1	0	1	0	0	mmu-let-7d-3p				-0.15	-0.21	N/A
FREM1	ENST00000380881.4	FRAS1 related extracellular matrix 1 	25	1	1	0	0	0	mmu-let-7d-3p				-0.14	-0.18	N/A
RBAK	ENST00000396912.1	RB-associated KRAB zinc finger 	99	1	0	1	0	0	mmu-let-7d-3p				-0.14	-0.28	N/A
FGF5	ENST00000456523.3	fibroblast growth factor 5 	1478	1	1	0	0	0	mmu-let-7d-3p				-0.14	-0.61	N/A
MPRIP	ENST00000341712.4	myosin phosphatase Rho interacting protein 	521	1	0	1	0	0	mmu-let-7d-3p				-0.14	-0.14	N/A
CXXC4	ENST00000394767.2	CXXC finger protein 4 	121	1	0	1	0	0	mmu-let-7d-3p				-0.14	-0.20	N/A
PCDH7	ENST00000543491.1	protocadherin 7 	95	1	0	1	0	0	mmu-let-7d-3p				-0.14	-0.14	N/A
UBXN10	ENST00000375099.3	UBX domain protein 10 	5	1	0	1	0	0	mmu-let-7d-3p				-0.13	-0.13	N/A
GRM6	ENST00000231188.5	glutamate receptor, metabotropic 6 	5	1	0	1	0	0	mmu-let-7d-3p				-0.13	-0.13	N/A
PDE10A	ENST00000366882.1	phosphodiesterase 10A 	371	1	0	0	1	0	mmu-let-7d-3p				-0.13	-0.18	N/A
