Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
STX3	ENST00000535361.1	syntaxin 3 	564	1	1	0	0	1	0	0	1	2	mmu-let-7d-5p				-0.88	-0.88	0.96	2007, 2009, 2011
YOD1	ENST00000315927.4	YOD1 deubiquitinase 	55	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.86	-0.93	> 0.99	2007, 2009, 2011
IGF2BP1	ENST00000290341.3	insulin-like growth factor 2 mRNA binding protein 1 	460	5	3	1	1	0	0	0	0	1	mmu-let-7d-5p				-0.83	-1.29	> 0.99	2007, 2009, 2011
PTAFR	ENST00000373857.3	platelet-activating factor receptor 	5	2	1	1	0	1	0	1	0	0	mmu-let-7f-5p				-0.83	-0.83	0.98	2011
SALL4	ENST00000217086.4	sal-like 4 (Drosophila) 	155	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.83	-0.87	0.96	NULL
BZW1	ENST00000409600.1	basic leucine zipper and W2 domains 1 	470	2	0	2	0	0	0	0	0	0	mmu-let-7a-5p				-0.81	-0.81	> 0.99	2005, 2007, 2009, 2011
ZNF512B	ENST00000369888.1	zinc finger protein 512B 	8	3	0	3	0	0	0	0	0	0	mmu-let-7f-5p				-0.80	-0.80	> 0.99	2007, 2009, 2011
HAND1	ENST00000231121.2	heart and neural crest derivatives expressed 1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7k				-0.79	-0.79	0.96	2005, 2007, 2009, 2011
CCR7	ENST00000246657.2	chemokine (C-C motif) receptor 7 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.77	-0.77	0.95	2005, 2007, 2009, 2011
DTX2	ENST00000413936.2	deltex homolog 2 (Drosophila) 	76	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.76	-0.76	> 0.99	2005, 2007, 2009, 2011
ARID3A	ENST00000263620.3	AT rich interactive domain 3A (BRIGHT-like) 	320	3	1	1	1	1	0	0	1	0	mmu-let-7d-5p				-0.75	-1.32	> 0.99	2007, 2009, 2011
NGF	ENST00000369512.2	nerve growth factor (beta polypeptide) 	27	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.73	-0.73	0.95	2011
CLDN12	ENST00000287916.4	claudin 12 	267	1	1	0	0	1	0	1	0	0	mmu-let-7f-5p				-0.73	-0.73	0.95	2005, 2007, 2009, 2011
ARL4D	ENST00000320033.4	ADP-ribosylation factor-like 4D 	3401	1	0	1	0	1	0	1	0	0	mmu-let-7e-5p				-0.72	-0.72	0.94	2009, 2011
HOXB1	ENST00000239174.6	homeobox B1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.72	-0.72	0.96	NULL
RAB15	ENST00000436278.2	RAB15, member RAS oncogene family 	23	1	0	1	0	1	1	0	0	0	mmu-let-7b-5p				-0.72	-0.72	0.91	2005, 2007, 2009, 2011
ADAMTS8	ENST00000257359.6	ADAM metallopeptidase with thrombospondin type 1 motif, 8 	80	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.72	-0.72	0.96	2007, 2009, 2011
PSORS1C2	ENST00000259845.4	psoriasis susceptibility 1 candidate 2 	5	1	1	0	0	0	0	0	0	0	mmu-let-7i-5p				-0.71	-0.71	0.88	2009, 2011
CDK8	ENST00000536792.1	cyclin-dependent kinase 8 	280	3	1	1	1	0	0	0	0	0	mmu-miR-98-5p				-0.70	-0.70	< 0.1	NULL
FAM83G	ENST00000388995.6	family with sequence similarity 83, member G 	322	1	1	0	0	1	1	0	0	1	mmu-let-7d-5p				-0.70	-0.71	< 0.1	NULL
IGF1R	ENST00000268035.6	insulin-like growth factor 1 receptor 	561	3	1	1	1	0	0	0	0	0	mmu-let-7b-5p				-0.69	-0.91	> 0.99	2007, 2009, 2011
GALNT1	ENST00000269195.5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1) 	2466	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.69	-0.72	> 0.99	2005, 2007, 2009, 2011
TTLL4	ENST00000457313.1	tubulin tyrosine ligase-like family, member 4 	303	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.69	-0.99	0.98	2003, 2005, 2007, 2009, 2011
RNFT1	ENST00000442346.2	ring finger protein, transmembrane 1 	6	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.68	-0.68	< 0.1	NULL
PBX3	ENST00000342287.5	pre-B-cell leukemia homeobox 3 	1142	2	0	1	1	0	0	0	0	1	mmu-let-7b-5p				-0.67	-0.70	> 0.99	2005, 2007, 2009, 2011
ZBTB16	ENST00000335953.4	zinc finger and BTB domain containing 16 	73	3	1	1	1	0	0	0	0	0	mmu-let-7g-5p				-0.66	-0.73	> 0.99	NULL
BACH1	ENST00000286800.3	BTB and CNC homology 1, basic leucine zipper transcription factor 1 	273	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.66	-0.68	> 0.99	2005, 2007, 2009, 2011
THRSP	ENST00000281030.2	thyroid hormone responsive 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.66	-0.66	0.92	2011
KLK10	ENST00000309958.3	kallikrein-related peptidase 10 	5	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p				-0.66	-0.66	0.57	NULL
PALD1	ENST00000263563.6	phosphatase domain containing, paladin 1 	108	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p				-0.66	-0.66	0.96	2009, 2011
XRN1	ENST00000264951.4	5'-3' exoribonuclease 1 	612	1	0	0	1	1	0	0	1	0	mmu-let-7g-5p				-0.66	-0.67	0.86	2011
GPATCH3	ENST00000361720.5	G patch domain containing 3 	11	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.65	-0.65	0.94	2007, 2009, 2011
COIL	ENST00000240316.4	coilin 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.65	-0.65	0.94	2005, 2007, 2009, 2011
FASLG	ENST00000340030.3	Fas ligand (TNF superfamily, member 6) 	5	1	1	0	0	0	0	0	0	1	mmu-miR-98-5p				-0.64	-0.64	0.94	2011
BEND4	ENST00000504360.1	BEN domain containing 4 	187	2	0	1	1	0	0	0	0	1	mmu-miR-98-5p				-0.64	-0.65	> 0.99	2009, 2011
ZCCHC3	ENST00000382352.3	zinc finger, CCHC domain containing 3 	1328	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p				-0.64	-0.64	0.83	2011
MDM4	ENST00000391947.2	Mdm4 p53 binding protein homolog (mouse) 	443	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.64	-0.70	0.88	2011
C8orf58	ENST00000289989.5	chromosome 8 open reading frame 58 	619	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.64	-0.64	0.95	2009, 2011
CYB561D1	ENST00000496961.1	cytochrome b561 family, member D1 	105	1	0	0	1	2	0	2	0	1	mmu-let-7d-5p				-0.64	-0.65	0.87	2011
CXorf36	ENST00000398000.2	chromosome X open reading frame 36 	5	2	0	2	0	0	0	0	0	1	mmu-miR-98-5p				-0.63	-0.63	0.80	2011
SLC25A18	ENST00000327451.6	solute carrier family 25 (glutamate carrier), member 18 	115	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.63	-0.63	0.93	2005, 2007, 2009, 2011
GATM	ENST00000396659.3	glycine amidinotransferase (L-arginine:glycine amidinotransferase) 	586	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.63	-0.63	0.88	2009, 2011
QARS	ENST00000306125.6	glutaminyl-tRNA synthetase 	1411	1	1	0	0	0	0	0	0	0	mmu-miR-98-5p				-0.63	-0.63	< 0.1	2005, 2007, 2009, 2011
SNX30	ENST00000374232.3	sorting nexin family member 30 	33	2	0	1	1	1	0	0	1	1	mmu-let-7d-5p				-0.63	-0.72	> 0.99	2009, 2011
GNG5	ENST00000370645.4	guanine nucleotide binding protein (G protein), gamma 5 	3132	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.63	-0.63	0.96	2005, 2007, 2009, 2011
TARBP2	ENST00000552857.1	TAR (HIV-1) RNA binding protein 2 	1553	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.62	-0.62	0.70	2009, 2011
IGF2BP2	ENST00000382199.2	insulin-like growth factor 2 mRNA binding protein 2 	5	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.62	-0.62	0.98	2007, 2009, 2011
CTB-54O9.9	ENST00000586012.1	Uncharacterized protein  	5	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p				-0.62	-0.76	< 0.1	NULL
HIC2	ENST00000407464.2	hypermethylated in cancer 2 	28	4	1	3	0	1	0	0	1	0	mmu-let-7g-5p				-0.62	-1.11	> 0.99	2003, 2005, 2007, 2009, 2011
FOXP2	ENST00000408937.3	forkhead box P2 	169	3	0	2	1	0	0	0	0	1	mmu-let-7g-5p				-0.61	-0.84	> 0.99	2011
TRIM68	ENST00000300747.5	tripartite motif containing 68 	98	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.61	-0.61	0.84	2009, 2011
MYCN	ENST00000281043.3	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog 	73	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.61	-0.64	0.98	2005, 2007, 2009, 2011
KCTD17	ENST00000402077.3	potassium channel tetramerization domain containing 17 	187	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.61	-0.61	0.94	2007, 2009, 2011
ZNF275	ENST00000370251.3	zinc finger protein 275 	465	2	1	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.60	-0.61	0.98	2007, 2009, 2011
CD200R1	ENST00000471858.1	CD200 receptor 1 	6	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.60	-0.60	0.13	2011
DIAPH2	ENST00000324765.8	diaphanous-related formin 2 	91	2	0	2	0	1	0	1	0	0	mmu-let-7g-5p				-0.60	-0.70	0.98	2007, 2009
IKBKAP	ENST00000374647.5	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein 	608	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.59	-0.79	0.94	2011
DDX19B	ENST00000288071.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B 	690	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.59	-0.59	0.96	2007, 2009, 2011
CRCT1	ENST00000368790.3	cysteine-rich C-terminal 1 	5	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.59	-0.59	0.87	2009, 2011
SEC16B	ENST00000308284.6	SEC16 homolog B (S. cerevisiae) 	251	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.59	-0.59	0.52	NULL
IARS	ENST00000375629.3	isoleucyl-tRNA synthetase 	65	1	0	0	1	1	0	0	1	1	mmu-let-7d-5p				-0.59	-0.65	0.83	2009, 2011
CHP1	ENST00000334660.5	calcineurin-like EF-hand protein 1 	2051	1	0	1	0	1	0	1	0	0	mmu-miR-98-5p				-0.59	-0.59	0.63	2009, 2011
APBB3	ENST00000358580.5	amyloid beta (A4) precursor protein-binding, family B, member 3 	9	1	1	0	0	0	0	0	0	0	mmu-let-7f-5p				-0.59	-0.59	0.74	2005, 2007, 2009, 2011
EOGT	ENST00000383701.3	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase 	302	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.59	-0.63	0.98	2007, 2009, 2011
ZNF710	ENST00000268154.4	zinc finger protein 710 	5	2	0	2	0	0	0	0	0	1	mmu-let-7i-5p				-0.58	-0.58	> 0.99	2003, 2007, 2009, 2011
IL13	ENST00000304506.3	interleukin 13 	5	1	1	0	0	0	0	0	0	0	mmu-let-7a-5p				-0.58	-0.58	0.96	2005, 2007, 2009, 2011
GALE	ENST00000374497.3	UDP-galactose-4-epimerase 	27	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.58	-0.58	0.93	2005, 2007, 2009, 2011
CACNG4	ENST00000262138.3	calcium channel, voltage-dependent, gamma subunit 4 	5	2	0	1	1	1	0	1	0	0	mmu-let-7d-5p				-0.58	-0.58	0.99	2005, 2007, 2009, 2011
MAPK6	ENST00000261845.5	mitogen-activated protein kinase 6 	24	1	1	0	0	0	0	0	0	0	mmu-let-7b-5p				-0.58	-0.58	0.96	2005, 2007, 2009, 2011
DDX19A	ENST00000302243.7	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A 	148	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.58	-0.58	0.96	2007, 2009, 2011
IGSF1	ENST00000370900.1	immunoglobulin superfamily, member 1 	416	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.58	-0.58	0.87	2009, 2011
PAPPA	ENST00000328252.3	pregnancy-associated plasma protein A, pappalysin 1 	350	3	1	1	1	0	0	0	0	0	mmu-miR-98-5p				-0.58	-0.64	> 0.99	2005, 2007, 2009, 2011
B3GNT1	ENST00000311181.4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	2688	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.57	-0.58	0.90	2007, 2009, 2011
SMIM3	ENST00000526627.1	small integral membrane protein 3 	3180	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.57	-0.57	0.89	2007, 2009, 2011
TGDS	ENST00000261296.5	TDP-glucose 4,6-dehydratase 	7	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.57	-0.57	0.95	2009, 2011
LPGAT1	ENST00000366997.4	lysophosphatidylglycerol acyltransferase 1 	135	2	0	1	1	1	0	0	1	1	mmu-let-7d-5p				-0.57	-0.69	> 0.99	2005, 2007, 2009, 2011
HIF3A	ENST00000377670.4	hypoxia inducible factor 3, alpha subunit 	5	2	1	0	1	0	0	0	0	0	mmu-let-7b-5p				-0.57	-0.57	> 0.99	2009, 2011
PBX2	ENST00000375050.4	pre-B-cell leukemia homeobox 2 	98	2	0	1	1	0	0	0	0	0	mmu-let-7a-5p				-0.57	-0.57	> 0.99	2011
ARHGEF38	ENST00000420470.2	Rho guanine nucleotide exchange factor (GEF) 38 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.56	-0.56	0.87	2011
KPNA4	ENST00000334256.4	karyopherin alpha 4 (importin alpha 3) 	111	2	0	1	1	2	0	0	2	1	mmu-let-7d-5p				-0.56	-0.80	0.97	2005, 2007, 2011
DNASE1L2	ENST00000564065.1	deoxyribonuclease I-like 2 	35	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.56	-0.56	0.26	2009, 2011
UHRF2	ENST00000276893.5	ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase 	64	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.56	-0.56	0.95	2005, 2007, 2009, 2011
MIB1	ENST00000261537.6	mindbomb E3 ubiquitin protein ligase 1 	897	2	0	2	0	0	0	0	0	0	mmu-let-7d-5p				-0.56	-0.57	> 0.99	2011
RAB11FIP4	ENST00000325874.8	RAB11 family interacting protein 4 (class II) 	169	2	0	2	0	0	0	0	0	1	mmu-let-7i-5p				-0.56	-0.59	> 0.99	2003, 2005, 2007, 2009, 2011
MAB21L3	ENST00000369500.3	mab-21-like 3 (C. elegans) 	5	1	0	1	0	1	0	1	0	1	mmu-miR-98-5p				-0.56	-0.56	0.93	2009, 2011
DDI2	ENST00000480945.1	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 	357	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p				-0.55	-0.56	0.96	2007, 2009, 2011
SKIL	ENST00000458537.3	SKI-like oncogene 	210	3	1	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.55	-0.88	> 0.99	NULL
MAP4K3	ENST00000263881.3	mitogen-activated protein kinase kinase kinase kinase 3 	796	1	1	0	0	0	0	0	0	0	mmu-miR-98-5p				-0.55	-0.55	0.94	2005, 2007, 2009, 2011
ADRB2	ENST00000305988.4	adrenoceptor beta 2, surface 	50	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.55	-0.58	0.73	2005, 2007, 2009, 2011
PCGF3	ENST00000362003.5	polycomb group ring finger 3 	503	1	1	0	0	0	0	0	0	3	mmu-let-7d-5p				-0.55	-0.79	0.96	2005, 2007, 2009, 2011
NEK3	ENST00000339406.3	NIMA-related kinase 3 	66	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.55	-0.56	0.80	2009, 2011
LRIG2	ENST00000361127.5	leucine-rich repeats and immunoglobulin-like domains 2 	348	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.55	-0.55	0.96	2005, 2007, 2009, 2011
NME4	ENST00000219479.2	NME/NM23 nucleoside diphosphate kinase 4 	4249	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.54	-0.54	0.87	2003, 2005, 2007, 2009, 2011
ACVR1C	ENST00000243349.8	activin A receptor, type IC 	27	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.54	-0.54	0.96	2005, 2007, 2009, 2011
MXD1	ENST00000264444.2	MAX dimerization protein 1 	183	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.53	-0.53	0.96	2007, 2009, 2011
KLHL6	ENST00000341319.3	kelch-like family member 6 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.53	-0.53	0.96	2007, 2009, 2011
SMUG1	ENST00000505128.1	single-strand-selective monofunctional uracil-DNA glycosylase 1 	242	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.53	-0.57	0.87	2009, 2011
CPEB2	ENST00000538197.1	cytoplasmic polyadenylation element binding protein 2 	367	2	0	0	2	1	0	1	0	0	mmu-let-7d-5p				-0.53	-0.56	0.99	2005, 2007, 2009, 2011
CPEB1	ENST00000450751.2	cytoplasmic polyadenylation element binding protein 1 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.53	-0.53	0.95	2007, 2009, 2011
GIPC1	ENST00000393029.3	GIPC PDZ domain containing family, member 1 	2934	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.53	-0.53	0.95	2007, 2009, 2011
CCND2	ENST00000261254.3	cyclin D2 	66	3	0	0	3	0	0	0	0	0	mmu-let-7d-5p				-0.52	-0.62	> 0.99	2005, 2007, 2009, 2011
SOWAHA	ENST00000378693.2	sosondowah ankyrin repeat domain family member A 	138	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.52	-0.52	0.96	2007, 2009, 2011
E2F5	ENST00000418930.2	E2F transcription factor 5, p130-binding 	10	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.52	-0.52	0.84	2009, 2011
HOXA1	ENST00000355633.5	homeobox A1 	157	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.52	-0.52	< 0.1	NULL
TGFBR1	ENST00000374994.4	transforming growth factor, beta receptor 1 	249	2	1	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.52	-0.71	> 0.99	2005, 2007, 2009, 2011
PDPR	ENST00000568530.1	pyruvate dehydrogenase phosphatase regulatory subunit 	69	1	1	0	0	1	1	0	0	2	mmu-let-7d-5p				-0.52	-0.61	0.96	2005, 2007, 2009, 2011
NDST2	ENST00000309979.6	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2 	175	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.52	-0.52	0.92	2011
EDN1	ENST00000379375.5	endothelin 1 	113	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.52	-0.52	0.86	2009, 2011
KLHDC8B	ENST00000332780.2	kelch domain containing 8B 	321	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.51	-0.51	0.95	2011
KCTD21	ENST00000340067.3	potassium channel tetramerization domain containing 21 	90	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.51	-0.51	0.95	2007, 2009, 2011
ONECUT3	ENST00000382349.4	one cut homeobox 3 	5	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.51	-0.51	> 0.99	NULL
LRIG3	ENST00000379141.4	leucine-rich repeats and immunoglobulin-like domains 3 	366	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.51	-0.51	0.96	2005, 2007, 2009, 2011
IL10	ENST00000423557.1	interleukin 10 	5	1	0	0	1	0	0	0	0	2	mmu-let-7d-5p				-0.51	-0.51	0.95	2005, 2007, 2009, 2011
CPA4	ENST00000445470.2	carboxypeptidase A4 	1319	1	1	0	0	0	0	0	0	2	mmu-let-7d-5p				-0.51	-0.51	0.92	2005, 2007, 2009, 2011
ZPLD1	ENST00000306176.1	zona pellucida-like domain containing 1 	5	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.51	-0.51	0.95	2009, 2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	2	0	2	0	2	0	2	0	2	mmu-let-7g-5p				-0.50	-0.56	0.67	NULL
PBX1	ENST00000367897.1	pre-B-cell leukemia homeobox 1 	18	2	0	1	1	0	0	0	0	1	mmu-let-7d-5p				-0.50	-0.71	> 0.99	2011
MFSD4	ENST00000367147.4	major facilitator superfamily domain containing 4 	5	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p				-0.50	-0.50	0.86	2011
SCN11A	ENST00000302328.3	sodium channel, voltage-gated, type XI, alpha subunit 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.50	-0.50	0.55	2007, 2009, 2011
WNT9A	ENST00000272164.5	wingless-type MMTV integration site family, member 9A 	73	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.50	-0.50	0.96	NULL
ZNF689	ENST00000287461.3	zinc finger protein 689 	526	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.50	-0.50	0.93	2009, 2011
AEN	ENST00000332810.3	apoptosis enhancing nuclease 	610	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.50	-0.50	0.85	2009, 2011
GAN	ENST00000568107.2	gigaxonin 	185	3	2	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.50	-0.86	> 0.99	2011
EFHD2	ENST00000375980.4	EF-hand domain family, member D2 	1411	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.49	-0.50	0.95	2005, 2007, 2009, 2011
CCNF	ENST00000397066.4	cyclin F 	1432	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.49	-0.51	0.94	2011
GNPTAB	ENST00000299314.7	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits 	82	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.49	-0.49	0.96	2007, 2009, 2011
CEP135	ENST00000257287.4	centrosomal protein 135kDa 	19	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.49	-0.49	> 0.99	2009, 2011
SLC25A24	ENST00000565488.1	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24 	1688	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.49	-0.49	0.98	2005, 2007, 2009, 2011
NRAS	ENST00000369535.4	neuroblastoma RAS viral (v-ras) oncogene homolog 	551	2	0	1	1	0	0	0	0	0	mmu-let-7f-5p				-0.48	-0.60	> 0.99	2011
TRABD	ENST00000303434.4	TraB domain containing 	2527	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.48	-0.50	0.85	2007, 2009, 2011
GPR61	ENST00000527748.1	G protein-coupled receptor 61 	5	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.48	-0.48	0.92	NULL
TMEM41A	ENST00000296254.3	transmembrane protein 41A 	382	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.48	-0.49	0.97	2011
CCDC71L	ENST00000523505.1	coiled-coil domain containing 71-like 	410	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.48	-0.48	0.96	2007, 2009, 2011
HMGA1	ENST00000347617.6	high mobility group AT-hook 1 	2024	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.48	-0.48	0.94	2005, 2007, 2009, 2011
CPEB4	ENST00000265085.5	cytoplasmic polyadenylation element binding protein 4 	472	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.48	-0.48	0.98	2005, 2007, 2009, 2011
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	0	0	2	0	0	0	0	1	mmu-let-7d-5p				-0.48	-0.49	0.95	2007, 2009, 2011
AC010441.1	ENST00000600109.1		3180	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.47	0.89	NULL
