Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
LBH	ENST00000406087.1	limb bud and heart development 	1956	2	0	2	0	0	mmu-miR-483-5p				-0.56	-0.57	N/A
EGLN1	ENST00000366641.3	egl-9 family hypoxia-inducible factor 1 	505	2	0	2	0	0	mmu-miR-483-5p				-0.56	-0.56	N/A
PFDN6	ENST00000395131.1	prefoldin subunit 6 	183	1	1	0	0	0	mmu-miR-483-5p				-0.55	-0.75	N/A
MSANTD3	ENST00000395067.2	Myb/SANT-like DNA-binding domain containing 3 	78	1	1	0	0	0	mmu-miR-483-5p				-0.55	-0.55	N/A
OSBPL7	ENST00000007414.3	oxysterol binding protein-like 7 	25	2	0	2	0	0	mmu-miR-483-5p				-0.55	-0.55	N/A
BOD1L2	ENST00000585477.1	biorientation of chromosomes in cell division 1-like 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.53	-0.53	N/A
SLC35E1	ENST00000595753.1	solute carrier family 35, member E1 	4273	2	0	2	0	1	mmu-miR-483-5p				-0.53	-0.53	N/A
RP11-318A15.7	ENST00000587459.1	Uncharacterized protein  	13	1	0	1	0	0	mmu-miR-483-5p				-0.52	-0.52	N/A
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	1	1	0	0	0	mmu-miR-483-5p				-0.51	-0.51	N/A
CMC1	ENST00000466830.1	COX assembly mitochondrial protein 1 homolog (S. cerevisiae) 	1203	1	0	1	0	0	mmu-miR-483-5p				-0.51	-0.51	N/A
CCNG2	ENST00000316355.5	cyclin G2 	1056	1	1	0	0	0	mmu-miR-483-5p				-0.50	-0.50	N/A
RSPO4	ENST00000217260.4	R-spondin 4 	5	1	0	1	0	1	mmu-miR-483-5p				-0.50	-0.50	N/A
NXF1	ENST00000531709.2	nuclear RNA export factor 1 	1017	1	1	0	0	1	mmu-miR-483-5p				-0.49	-0.49	N/A
HTR7	ENST00000371719.2	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled 	12	1	1	0	0	0	mmu-miR-483-5p				-0.48	-0.48	N/A
METTL21B	ENST00000333012.5	methyltransferase like 21B 	51	2	0	2	0	0	mmu-miR-483-5p				-0.48	-0.48	N/A
VWA9	ENST00000313182.2	von Willebrand factor A domain containing 9 	4511	2	0	1	1	0	mmu-miR-483-5p				-0.48	-0.48	N/A
TMEM30B	ENST00000555868.1	transmembrane protein 30B 	10	1	1	0	0	1	mmu-miR-483-5p				-0.48	-0.51	N/A
SRSF4	ENST00000546138.1	serine/arginine-rich splicing factor 4 	2524	1	0	1	0	1	mmu-miR-483-5p				-0.48	-0.48	N/A
C19orf26	ENST00000590083.1	chromosome 19 open reading frame 26 	24	2	0	2	0	0	mmu-miR-483-5p				-0.47	-0.47	N/A
PTMA	ENST00000409115.3	prothymosin, alpha 	312	1	0	1	0	0	mmu-miR-483-5p				-0.47	-0.47	N/A
LONRF1	ENST00000398246.3	LON peptidase N-terminal domain and ring finger 1 	36	1	1	0	0	0	mmu-miR-483-5p				-0.47	-0.47	N/A
LCE3E	ENST00000368789.1	late cornified envelope 3E 	5	1	0	1	0	0	mmu-miR-483-5p				-0.47	-0.47	N/A
RCC2	ENST00000375436.4	regulator of chromosome condensation 2 	180	2	0	2	0	0	mmu-miR-483-5p				-0.45	-0.45	N/A
PPP1R9B	ENST00000316878.6	protein phosphatase 1, regulatory subunit 9B 	120	2	0	2	0	0	mmu-miR-483-5p				-0.45	-0.45	N/A
MARCH4	ENST00000273067.4	membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase 	68	1	1	0	0	0	mmu-miR-483-5p				-0.45	-0.45	N/A
MOGAT2	ENST00000526712.1	monoacylglycerol O-acyltransferase 2 	5	2	0	1	1	0	mmu-miR-483-5p				-0.45	-0.45	N/A
MED17	ENST00000251871.3	mediator complex subunit 17 	197	1	0	1	0	0	mmu-miR-483-5p				-0.44	-0.44	N/A
MOB3B	ENST00000262244.5	MOB kinase activator 3B 	52	1	0	1	0	2	mmu-miR-483-5p				-0.44	-0.46	N/A
WDR54	ENST00000409791.1	WD repeat domain 54 	614	1	0	1	0	0	mmu-miR-483-5p				-0.43	-0.43	N/A
SIAH3	ENST00000400405.2	siah E3 ubiquitin protein ligase family member 3 	5	1	0	1	0	0	mmu-miR-483-5p				-0.42	-0.42	N/A
LYRM9	ENST00000460380.2	LYR motif containing 9 	191	1	0	1	0	0	mmu-miR-483-5p				-0.42	-0.42	N/A
GPC6	ENST00000377047.4	glypican 6 	410	2	0	2	0	0	mmu-miR-483-5p				-0.42	-0.45	N/A
CD28	ENST00000324106.8	CD28 molecule 	5	1	1	0	0	0	mmu-miR-483-5p				-0.42	-0.42	N/A
LDLRAD2	ENST00000344642.2	low density lipoprotein receptor class A domain containing 2 	5	2	0	1	1	0	mmu-miR-483-5p				-0.42	-0.42	N/A
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	1	0	1	0	0	mmu-miR-483-5p				-0.42	-0.43	N/A
SCRT1	ENST00000332135.4	scratch homolog 1, zinc finger protein (Drosophila) 	5	1	1	0	0	0	mmu-miR-483-5p				-0.41	-0.41	N/A
GPR162	ENST00000428545.2	G protein-coupled receptor 162 	8	1	0	1	0	0	mmu-miR-483-5p				-0.41	-0.41	N/A
GPR151	ENST00000311104.2	G protein-coupled receptor 151 	5	1	0	0	1	2	mmu-miR-483-5p				-0.41	-0.41	N/A
UBXN10	ENST00000375099.3	UBX domain protein 10 	5	1	1	0	0	0	mmu-miR-483-5p				-0.41	-0.41	N/A
SLC38A1	ENST00000398637.5	solute carrier family 38, member 1 	1967	2	0	2	0	0	mmu-miR-483-5p				-0.40	-0.44	N/A
UBALD1	ENST00000590965.1	UBA-like domain containing 1 	41	1	0	1	0	0	mmu-miR-483-5p				-0.40	-0.40	N/A
COL1A1	ENST00000225964.5	collagen, type I, alpha 1 	73360	1	1	0	0	0	mmu-miR-483-5p				-0.40	-0.40	N/A
MATN3	ENST00000407540.3	matrilin 3 	113	1	0	1	0	0	mmu-miR-483-5p				-0.40	-0.45	N/A
CAPN5	ENST00000531028.1	calpain 5 	89	1	0	1	0	0	mmu-miR-483-5p				-0.39	-0.42	N/A
EHBP1L1	ENST00000309295.4	EH domain binding protein 1-like 1 	264	1	0	1	0	0	mmu-miR-483-5p				-0.39	-0.39	N/A
CREBRF	ENST00000540014.1	CREB3 regulatory factor 	24	2	0	1	1	0	mmu-miR-483-5p				-0.39	-0.39	N/A
PGAP2	ENST00000396993.4	post-GPI attachment to proteins 2 	595	1	0	1	0	0	mmu-miR-483-5p				-0.39	-0.39	N/A
PGRMC2	ENST00000296425.5	progesterone receptor membrane component 2 	2089	1	0	1	0	0	mmu-miR-483-5p				-0.39	-0.40	N/A
BCR	ENST00000305877.8	breakpoint cluster region 	5	2	0	2	0	0	mmu-miR-483-5p				-0.39	-0.39	N/A
TUSC5	ENST00000333813.3	tumor suppressor candidate 5 	5	2	0	2	0	0	mmu-miR-483-5p				-0.39	-0.39	N/A
KCNQ5	ENST00000370398.1	potassium voltage-gated channel, KQT-like subfamily, member 5 	50	1	1	0	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
MAPK1	ENST00000215832.6	mitogen-activated protein kinase 1 	630	2	0	2	0	0	mmu-miR-483-5p				-0.38	-0.48	N/A
CTNNA2	ENST00000496558.1	catenin (cadherin-associated protein), alpha 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
BCL2L13	ENST00000418951.2	BCL2-like 13 (apoptosis facilitator) 	741	1	0	1	0	1	mmu-miR-483-5p				-0.38	-0.38	N/A
FFAR2	ENST00000599180.2	free fatty acid receptor 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
C8orf82	ENST00000313465.5	chromosome 8 open reading frame 82 	94	1	0	1	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
NUBP2	ENST00000262302.9	nucleotide binding protein 2 	3319	1	0	1	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
CD74	ENST00000377795.3	CD74 molecule, major histocompatibility complex, class II invariant chain 	168	1	0	1	0	0	mmu-miR-483-5p				-0.38	-0.38	N/A
FBXO28	ENST00000424254.2	F-box protein 28 	461	1	0	1	0	1	mmu-miR-483-5p				-0.37	-0.43	N/A
IL6ST	ENST00000381287.4	interleukin 6 signal transducer (gp130, oncostatin M receptor) 	213	1	0	0	1	3	mmu-miR-483-5p				-0.37	-0.41	N/A
HOXB5	ENST00000239151.5	homeobox B5 	55	1	0	1	0	0	mmu-miR-483-5p				-0.37	-0.37	N/A
MAN1C1	ENST00000374332.4	mannosidase, alpha, class 1C, member 1 	60	1	0	1	0	0	mmu-miR-483-5p				-0.37	-0.37	N/A
PTGFRN	ENST00000393203.2	prostaglandin F2 receptor inhibitor 	591	1	1	0	0	0	mmu-miR-483-5p				-0.36	-0.37	N/A
RP11-385D13.1	ENST00000455584.2	Uncharacterized protein  	5	1	1	0	0	0	mmu-miR-483-5p				-0.36	-0.36	N/A
POGK	ENST00000367875.1	pogo transposable element with KRAB domain 	377	1	1	0	0	1	mmu-miR-483-5p				-0.36	-0.47	N/A
CALM2	ENST00000272298.7	calmodulin 2 (phosphorylase kinase, delta) 	22519	1	0	1	0	0	mmu-miR-483-5p				-0.36	-0.36	N/A
OXCT1	ENST00000196371.5	3-oxoacid CoA transferase 1 	1783	2	0	1	1	0	mmu-miR-483-5p				-0.36	-0.43	N/A
BCORL1	ENST00000540052.1	BCL6 corepressor-like 1 	209	1	0	1	0	0	mmu-miR-483-5p				-0.36	-0.36	N/A
ODF3L2	ENST00000315489.4	outer dense fiber of sperm tails 3-like 2 	11	1	0	1	0	0	mmu-miR-483-5p				-0.36	-0.36	N/A
GRM4	ENST00000538487.2	glutamate receptor, metabotropic 4 	5	1	0	1	0	1	mmu-miR-483-5p				-0.35	-0.35	N/A
NEIL3	ENST00000264596.3	nei endonuclease VIII-like 3 (E. coli) 	500	1	0	1	0	0	mmu-miR-483-5p				-0.35	-0.35	N/A
ANKMY2	ENST00000306999.2	ankyrin repeat and MYND domain containing 2 	75	1	0	1	0	0	mmu-miR-483-5p				-0.35	-0.35	N/A
DLX1	ENST00000341900.6	distal-less homeobox 1 	312	1	0	1	0	1	mmu-miR-483-5p				-0.35	-0.35	N/A
BET1L	ENST00000325147.9	Bet1 golgi vesicular membrane trafficking protein-like 	702	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.35	N/A
ART1	ENST00000250693.1	ADP-ribosyltransferase 1 	5	1	0	0	1	0	mmu-miR-483-5p				-0.34	-0.34	N/A
RGS16	ENST00000367558.5	regulator of G-protein signaling 16 	7	1	0	1	0	2	mmu-miR-483-5p				-0.34	-0.45	N/A
MAP3K7CL	ENST00000286791.5	MAP3K7 C-terminal like 	87	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.39	N/A
STX3	ENST00000535361.1	syntaxin 3 	564	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.34	N/A
BCL2L12	ENST00000246784.3	BCL2-like 12 (proline rich) 	355	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.34	N/A
CXXC5	ENST00000302517.3	CXXC finger protein 5 	1285	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.34	N/A
CHSY1	ENST00000254190.3	chondroitin sulfate synthase 1 	200	2	0	1	1	0	mmu-miR-483-5p				-0.34	-0.50	N/A
YARS	ENST00000373477.4	tyrosyl-tRNA synthetase 	1227	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.34	N/A
DBNDD1	ENST00000304733.3	dysbindin (dystrobrevin binding protein 1) domain containing 1 	303	1	0	1	0	0	mmu-miR-483-5p				-0.34	-0.34	N/A
TIMP2	ENST00000585421.1	TIMP metallopeptidase inhibitor 2 	3147	1	0	1	0	0	mmu-miR-483-5p				-0.33	-0.38	N/A
CD2	ENST00000369478.3	CD2 molecule 	5	1	0	0	1	0	mmu-miR-483-5p				-0.33	-0.33	N/A
TBC1D5	ENST00000253692.7	TBC1 domain family, member 5 	400	1	1	0	0	0	mmu-miR-483-5p				-0.33	-0.35	N/A
AK2	ENST00000467905.1	adenylate kinase 2 	3125	1	0	1	0	0	mmu-miR-483-5p				-0.33	-0.33	N/A
LAMTOR1	ENST00000538404.1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 	1317	1	0	1	0	0	mmu-miR-483-5p				-0.33	-0.33	N/A
C15orf56	ENST00000319503.3	chromosome 15 open reading frame 56 	5	1	0	1	0	0	mmu-miR-483-5p				-0.33	-0.33	N/A
GPD2	ENST00000540309.1	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) 	196	1	0	1	0	1	mmu-miR-483-5p				-0.33	-0.35	N/A
ZBTB8B	ENST00000609129.1	zinc finger and BTB domain containing 8B 	18	1	1	0	0	0	mmu-miR-483-5p				-0.33	-0.33	N/A
TRIM74	ENST00000395244.1	tripartite motif containing 74 	5	1	0	1	0	0	mmu-miR-483-5p				-0.33	-0.33	N/A
WARS	ENST00000392882.2	tryptophanyl-tRNA synthetase 	1916	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.33	N/A
PSAP	ENST00000394936.3	prosaposin 	8630	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.33	N/A
LHFPL4	ENST00000287585.6	lipoma HMGIC fusion partner-like 4 	6	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.32	N/A
GNB3	ENST00000229264.3	guanine nucleotide binding protein (G protein), beta polypeptide 3 	49	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.32	N/A
COPS2	ENST00000388901.5	COP9 signalosome subunit 2 	11120	1	0	0	1	0	mmu-miR-483-5p				-0.32	-0.32	N/A
ADORA2B	ENST00000304222.2	adenosine A2b receptor 	145	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.32	N/A
NDOR1	ENST00000427047.2	NADPH dependent diflavin oxidoreductase 1 	1044	2	0	1	1	0	mmu-miR-483-5p				-0.32	-0.33	N/A
SPTB	ENST00000389721.5	spectrin, beta, erythrocytic 	39	1	0	0	1	0	mmu-miR-483-5p				-0.32	-0.32	N/A
RORC	ENST00000356728.6	RAR-related orphan receptor C 	42	1	0	1	0	0	mmu-miR-483-5p				-0.32	-0.32	N/A
UBXN2B	ENST00000399598.2	UBX domain protein 2B 	157	1	0	1	0	1	mmu-miR-483-5p				-0.32	-0.32	N/A
TUBGCP6	ENST00000439308.2	tubulin, gamma complex associated protein 6 	1062	1	1	0	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
ELOVL5	ENST00000370918.4	ELOVL fatty acid elongase 5 	2233	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.32	N/A
CCND2	ENST00000261254.3	cyclin D2 	66	1	1	0	0	0	mmu-miR-483-5p				-0.31	-0.37	N/A
ACYP1	ENST00000357971.3	acylphosphatase 1, erythrocyte (common) type 	518	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
PEAR1	ENST00000292357.7	platelet endothelial aggregation receptor 1 	160	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
RP11-247C2.2	ENST00000563727.1	HCG2004779; Uncharacterized protein  	5	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
DYNC1I1	ENST00000447467.2	dynein, cytoplasmic 1, intermediate chain 1 	25	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
CCDC106	ENST00000308964.3	coiled-coil domain containing 106 	21	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
TMEM174	ENST00000296776.5	transmembrane protein 174 	5	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.31	N/A
ARL10	ENST00000310389.5	ADP-ribosylation factor-like 10 	236	1	0	1	0	0	mmu-miR-483-5p				-0.31	-0.32	N/A
PTPRJ	ENST00000418331.2	protein tyrosine phosphatase, receptor type, J 	145	1	0	1	0	1	mmu-miR-483-5p				-0.30	-0.32	N/A
CYB561	ENST00000584031.1	cytochrome b561 	10	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
MRPS18A	ENST00000372116.1	mitochondrial ribosomal protein S18A 	1037	1	0	0	1	0	mmu-miR-483-5p				-0.30	-0.30	N/A
FKBP8	ENST00000597960.3	FK506 binding protein 8, 38kDa 	118	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
TMEM182	ENST00000412401.2	transmembrane protein 182 	69	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
BHLHE40	ENST00000256495.3	basic helix-loop-helix family, member e40 	1571	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
EI24	ENST00000343678.4	etoposide induced 2.4 	646	1	0	0	1	0	mmu-miR-483-5p				-0.30	-0.30	N/A
TMBIM1	ENST00000258412.3	transmembrane BAX inhibitor motif containing 1 	2201	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
TCTE1	ENST00000371505.4	t-complex-associated-testis-expressed 1 	34	1	1	0	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
BMP3	ENST00000282701.2	bone morphogenetic protein 3 	36	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
SLC22A17	ENST00000354772.3	solute carrier family 22, member 17 	271	1	0	0	1	0	mmu-miR-483-5p				-0.30	-0.30	N/A
KCNJ11	ENST00000339994.4	potassium inwardly-rectifying channel, subfamily J, member 11 	282	1	0	1	0	0	mmu-miR-483-5p				-0.30	-0.30	N/A
ZNF784	ENST00000591479.1	zinc finger protein 784 	19	1	0	0	1	0	mmu-miR-483-5p				-0.30	-0.30	N/A
EIF4EBP2	ENST00000373218.4	eukaryotic translation initiation factor 4E binding protein 2 	690	1	0	1	0	1	mmu-miR-483-5p				-0.30	-0.31	N/A
HPCA	ENST00000373467.3	hippocalcin 	5	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
FAM172A	ENST00000395965.3	family with sequence similarity 172, member A 	257	1	0	0	1	0	mmu-miR-483-5p				-0.29	-0.29	N/A
SLC25A10	ENST00000571730.1	Mitochondrial dicarboxylate carrier; Uncharacterized protein; cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier  	2354	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
JPH4	ENST00000356300.4	junctophilin 4 	5	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
ALDH1A3	ENST00000329841.5	aldehyde dehydrogenase 1 family, member A3 	8	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
APOA1BP	ENST00000368234.3	apolipoprotein A-I binding protein 	5830	1	0	0	1	0	mmu-miR-483-5p				-0.29	-0.29	N/A
GNAT1	ENST00000232461.3	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 	8	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
EPB42	ENST00000300215.3	erythrocyte membrane protein band 4.2 	5	1	0	0	1	0	mmu-miR-483-5p				-0.29	-0.29	N/A
EVC2	ENST00000344408.5	Ellis van Creveld syndrome 2 	54	1	0	0	1	0	mmu-miR-483-5p				-0.29	-0.29	N/A
RNF157	ENST00000269391.6	ring finger protein 157 	163	1	0	1	0	1	mmu-miR-483-5p				-0.29	-0.32	N/A
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
SLC38A7	ENST00000570101.1	solute carrier family 38, member 7 	635	2*	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
EPOR	ENST00000592375.2	erythropoietin receptor 	96	1	0	1	0	0	mmu-miR-483-5p				-0.29	-0.29	N/A
KCNH3	ENST00000257981.6	potassium voltage-gated channel, subfamily H (eag-related), member 3 	5	1	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
CHMP4B	ENST00000217402.2	charged multivesicular body protein 4B 	1230	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.30	N/A
REM2	ENST00000267396.4	RAS (RAD and GEM)-like GTP binding 2 	140	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.28	N/A
MRO	ENST00000428869.2	maestro 	11	1	0	0	1	1	mmu-miR-483-5p				-0.28	-0.30	N/A
MCFD2	ENST00000444761.2	multiple coagulation factor deficiency 2 	1648	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.33	N/A
HCRTR1	ENST00000403528.2	hypocretin (orexin) receptor 1 	5	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.28	N/A
GPX3	ENST00000517973.1	glutathione peroxidase 3 (plasma) 	1142	1	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
PRNT	ENST00000418528.1	prion protein (testis specific) 	5	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.28	N/A
AADACL3	ENST00000332530.3	arylacetamide deacetylase-like 3 	5	1	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
TPH1	ENST00000250018.2	tryptophan hydroxylase 1 	12	1	0	1	0	2	mmu-miR-483-5p				-0.28	-0.28	N/A
DGKI	ENST00000453654.2	diacylglycerol kinase, iota 	16	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.28	N/A
EFNB2	ENST00000245323.4	ephrin-B2 	25	1	0	0	1	2	mmu-miR-483-5p				-0.28	-0.28	N/A
MYD88	ENST00000495303.1	myeloid differentiation primary response 88 	319	1	0	0	1	0	mmu-miR-483-5p				-0.28	-0.28	N/A
HMCN2	ENST00000428715.1	hemicentin 2 	10	2*	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
TMEM184B	ENST00000361906.3	transmembrane protein 184B 	1362	1	0	1	0	1	mmu-miR-483-5p				-0.28	-0.29	N/A
ACVR1C	ENST00000243349.8	activin A receptor, type IC 	27	1	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
SMTN	ENST00000333137.7	smoothelin 	99	1	0	1	0	0	mmu-miR-483-5p				-0.28	-0.28	N/A
SYP	ENST00000263233.4	synaptophysin 	15	1	0	1	0	0	mmu-miR-483-5p				-0.27	-0.28	N/A
SMAD9	ENST00000399275.2	SMAD family member 9 	62	1	0	1	0	0	mmu-miR-483-5p				-0.27	-0.29	N/A
STX1A	ENST00000395156.3	syntaxin 1A (brain) 	82	1	0	1	0	0	mmu-miR-483-5p				-0.27	-0.27	N/A
GPM6B	ENST00000454189.2	glycoprotein M6B 	135	1	0	0	1	0	mmu-miR-483-5p				-0.27	-0.27	N/A
MAP7D2	ENST00000379651.3	MAP7 domain containing 2 	490	1	0	1	0	0	mmu-miR-483-5p				-0.27	-0.27	N/A
XIAP	ENST00000371199.3	X-linked inhibitor of apoptosis 	153	1	0	0	1	0	mmu-miR-483-5p				-0.27	-0.27	N/A
USP48	ENST00000400301.1	ubiquitin specific peptidase 48 	3036	1	0	0	1	0	mmu-miR-483-5p				-0.27	-0.33	N/A
WNT3A	ENST00000284523.1	wingless-type MMTV integration site family, member 3A 	7	1	0	1	0	0	mmu-miR-483-5p				-0.27	-0.27	N/A
FAM160B2	ENST00000289921.7	family with sequence similarity 160, member B2 	803	1	0	1	0	1	mmu-miR-483-5p				-0.27	-0.33	N/A
LEF1	ENST00000265165.1	lymphoid enhancer-binding factor 1 	104	1	0	1	0	1	mmu-miR-483-5p				-0.27	-0.29	N/A
KHSRP	ENST00000398148.3	KH-type splicing regulatory protein 	4469	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
LAD1	ENST00000391967.2	ladinin 1 	89	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
NPTN	ENST00000345330.4	neuroplastin 	2918	1	0	0	1	0	mmu-miR-483-5p				-0.26	-0.26	N/A
BCL9L	ENST00000334801.3	B-cell CLL/lymphoma 9-like 	91	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
PARP10	ENST00000524918.1	poly (ADP-ribose) polymerase family, member 10 	173	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
FOXP4	ENST00000373063.3	forkhead box P4 	228	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
TFRC	ENST00000540528.1	transferrin receptor 	296	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.27	N/A
ZFP14	ENST00000270001.7	ZFP14 zinc finger protein 	109	1	0	0	1	0	mmu-miR-483-5p				-0.26	-0.26	N/A
RNF128	ENST00000324342.3	ring finger protein 128, E3 ubiquitin protein ligase 	17	1	0	0	1	0	mmu-miR-483-5p				-0.26	-0.26	N/A
TNFRSF13C	ENST00000291232.3	tumor necrosis factor receptor superfamily, member 13C 	36	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.33	N/A
ARHGAP23	ENST00000431231.2	Rho GTPase activating protein 23 	289	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
SRP72	ENST00000342756.5	signal recognition particle 72kDa 	185	1	0	0	1	0	mmu-miR-483-5p				-0.26	-0.26	N/A
FCRL4	ENST00000271532.1	Fc receptor-like 4 	5	1	0	0	1	0	mmu-miR-483-5p				-0.26	-0.26	N/A
ATP1A3	ENST00000302102.5	ATPase, Na+/K+ transporting, alpha 3 polypeptide 	69	1	0	1	0	0	mmu-miR-483-5p				-0.26	-0.26	N/A
CD109	ENST00000437994.2	CD109 molecule 	1272	1	0	0	1	0	mmu-miR-483-5p				-0.25	-0.25	N/A
